"Mono","MDM.IV","MDM.FABP4lo","MDM.FABP4hi","MDM.inflam","MDM.PLA2G7hi","IM"
"KLF10","PEBP1","CNPY2","CD59","TBC1D17","PDE8A","SLC1A3"
"ATP5F1A","CREB5","NDUFA7","PPCS","RNF24","TENT4B","P2RX7"
"PLA2G4A","LINC02328","MTIF3","ZDHHC21","TAGAP","MAFF","SLC39A8"
"SNRPE","COMT","UFC1","HACD4","SGPL1","ITGAE","C1GALT1"
"KCNK6","SKI","DGLUCY","MSH3","TBC1D8","NAPA","LILRA1"
"TWF2","HLCS","FLOT2","LYAR","GBP4","BCL2L1","SBNO2"
"LMO2","TLE5","OXR1","PLBD1","ITGB8","PDXDC1","CSF2RB"
"PTPN18","ATP10D","HADH","DLD","CEP85L","GM2A","PLPP3"
"ADAMTSL4-AS1","APBA1","ABCC3","ALG9","RHBDF2","WDSUB1","IL15"
"ZC2HC1A","MYO1C","PRKACB","NFU1","EXT1","DLGAP4","TRADD"
"CPT1A","ASPH","PDGFC","ZNF217","USP36","ATP8B4","NMI"
"IPO8","HMGN3","MRPS35","DUT","ST6GALNAC3","UBE2J1","PGS1"
"TTC39C","PPFIBP1","SLC25A46","SLFN11","TNIP2","CREB3L2","GSDMD"
"PRKCB","RNASEH2B","IPO8","AVPI1","PDE4A","ZHX2","FCGR1A"
"MRPS5","LRRK1","JKAMP","VAT1","KLHL5","WASL","DRAM1"
"ATP5MC1","NHSL1","NHLRC3","PYCARD","CD36","AQP9","PPA1"
"SNX30","PAPSS2","SNHG8","PCCA","CHKA","OAS1","SNN"
"MRPS21","TMEM176A","ITGAL","IMPAD1","TFDP1","APOC2","IGFLR1"
"TLR5","KCNMA1","CHCHD10","SMIM14","RGL1","CALM3","NAPA"
"PHF14","ABL1","KSR1","MGMT","SEMA4A","SLFN5","EPG5"
"UTP6","RBMS2","COA4","FUCA1","SINHCAF","PID1","PLXNC1"
"ID3","MAMDC2-AS1","PHYH","MR1","BCL6","PLIN2","IL18BP"
"TBXAS1","PLXNC1","ETFB","REEP3","TNFAIP2","INPP5F","RASSF5"
"LSM6","SPATA6","CDC42BPB","ITPK1","FMNL3","PLCB1","BMT2"
"PA2G4","SMYD3","MRPL41","COA1","PLXNC1","CDR2","CYTOR"
"ATP5PB","CCL2","MCOLN1","CFD","SLC9A9","CREM","RFTN1"
"ZFP36L2","SMARCA2","FAM174C","SGMS2","DRAM1","CYSTM1","EZH2"
"IL1B","CCL18","BAG4","AXL","IER5","ATP2B4","LRRK2"
"FRMD4B","NUDT5","RNPEP","POLR2K","TRAF3","HEATR5A","MEFV"
"CKLF","NUPR1","PGM1","NUCB1","CLEC4E","GFPT1","OSER1"
"ECHDC1","AKAP11","ORMDL1","MYO7B","SNX8","DDB1","IFIT3"
"TMEM14B","TNFSF13","ZNF124","FAM162A","VIM-AS1","ARHGAP24","IFI44"
"MRPL57","RNF125","JPT1","SECTM1","NRIP3","NADK","HIVEP3"
